date,close,high,low
2015-07-20,280.0,280.0,277.37
2015-07-21,277.32,281.27,276.85
2015-07-22,277.89,278.54,275.01
2015-07-23,277.39,279.75,276.28
2015-07-24,289.12,291.52,276.43
2015-07-25,289.7,291.67,286.82
2015-07-26,293.89,294.49,288.65
2015-07-27,294.21,297.0,287.24
2015-07-28,295.76,298.0,293.65
2015-07-29,290.19,296.58,289.01
2015-07-30,288.49,291.56,286.56
2015-07-31,285.19,290.0,282.79
2015-08-01,281.53,285.6,277.26
2015-08-02,282.62,282.62,277.33
2015-08-03,280.95,285.86,280.27
2015-08-04,285.51,286.47,280.11
2015-08-05,282.77,286.25,282.01
2015-08-06,279.65,282.61,278.95
2015-08-07,279.94,281.17,277.05
2015-08-08,262.02,280.16,260.07
2015-08-09,267.63,268.8,260.97
2015-08-10,265.15,268.89,263.17
2015-08-11,271.99,271.99,264.91
2015-08-12,266.94,272.4,265.79
2015-08-13,264.67,267.82,262.94
2015-08-14,266.17,267.98,262.5
2015-08-15,262.46,267.69,261.77
2015-08-16,259.2,263.1,255.67
2015-08-17,257.31,261.57,255.58
2015-08-18,221.99,258.04,200.0
2015-08-19,227.34,238.99,214.91
2015-08-20,235.56,238.2,227.45
2015-08-21,232.85,236.99,231.15
2015-08-22,231.15,235.53,222.68
2015-08-23,229.21,233.25,226.15
2015-08-24,211.16,229.24,210.0
2015-08-25,223.73,229.49,198.02
2015-08-26,226.81,231.97,220.16
2015-08-27,225.8,229.99,224.0
2015-08-28,231.55,236.18,221.2
2015-08-29,230.61,233.95,228.0
2015-08-30,229.39,233.47,226.59
2015-08-31,230.75,233.0,225.23
2015-09-01,228.22,233.5,226.42
2015-09-02,229.97,231.43,226.43
2015-09-03,227.25,230.79,226.48
2015-09-04,231.39,232.49,227.24
2015-09-05,236.01,237.24,230.12
2015-09-06,241.29,244.82,235.54
2015-09-07,241.31,242.98,239.21
2015-09-08,244.14,247.82,240.31
2015-09-09,238.75,244.69,238.6
2015-09-10,238.52,241.4,236.69
2015-09-11,240.9,241.54,238.5
2015-09-12,236.5,241.12,235.26
2015-09-13,230.82,236.91,229.72
2015-09-14,231.01,233.99,228.01
2015-09-15,230.6,232.43,230.26
2015-09-16,229.73,232.0,226.85
2015-09-17,233.34,235.93,229.01
2015-09-18,233.78,234.96,231.75
2015-09-19,232.88,234.31,232.0
2015-09-20,232.24,234.0,231.84
2015-09-21,227.31,233.64,226.87
2015-09-22,231.28,232.5,224.45
2015-09-23,230.26,233.0,229.27
2015-09-24,235.27,235.99,230.09
2015-09-25,235.89,237.62,234.02
2015-09-26,234.69,236.2,233.5
2015-09-27,233.58,235.03,233.2
2015-09-28,239.99,240.52,233.53
2015-09-29,236.89,241.05,236.65
2015-09-30,237.14,238.75,236.26
2015-10-01,238.34,239.86,236.9
2015-10-02,238.28,239.4,236.97
2015-10-03,239.92,240.62,237.73
2015-10-04,239.87,240.28,239.07
2015-10-05,240.95,240.98,237.5
2015-10-06,246.64,248.0,240.31
2015-10-07,244.0,247.96,240.2
2015-10-08,242.94,245.38,242.2
2015-10-09,244.35,244.88,241.1
2015-10-10,246.07,246.1,243.8
2015-10-11,249.02,250.0,245.63
2015-10-12,246.39,249.14,245.89
2015-10-13,250.99,251.5,244.86
2015-10-14,253.27,255.0,250.25
2015-10-15,254.99,256.77,253.18
2015-10-16,263.43,267.6,254.86
2015-10-17,272.87,274.81,263.05
2015-10-18,265.0,273.5,262.94
2015-10-19,265.17,268.23,262.05
2015-10-20,271.14,272.95,264.38
2015-10-21,268.77,272.85,265.0
2015-10-22,275.84,280.0,268.75
2015-10-23,278.76,281.17,275.4
2015-10-24,284.29,284.49,278.75
2015-10-25,284.97,295.93,283.28
2015-10-26,287.1,287.68,282.04
2015-10-27,295.61,297.99,286.89
2015-10-28,304.09,308.93,295.65
2015-10-29,316.08,320.99,301.8
2015-10-30,329.11,336.97,315.9
2015-10-31,314.85,334.28,306.29
2015-11-01,329.46,332.0,311.44
2015-11-02,365.21,371.82,326.07
2015-11-03,404.1,422.3,362.07
2015-11-04,410.0,499.99,368.15
2015-11-05,387.21,450.0,366.66
2015-11-06,374.09,395.0,351.0
2015-11-07,384.81,392.0,371.43
2015-11-08,373.83,389.0,363.58
2015-11-09,379.53,386.96,360.8
2015-11-10,337.14,382.23,322.0
2015-11-11,313.2,341.75,293.32
2015-11-12,336.49,344.99,312.24
2015-11-13,338.07,343.0,325.0
2015-11-14,334.71,339.57,329.4
2015-11-15,322.93,336.46,319.89
2015-11-16,332.89,334.1,316.12
2015-11-17,336.49,340.72,330.1
2015-11-18,335.49,338.0,330.0
2015-11-19,326.41,336.38,324.9
2015-11-20,322.39,327.04,311.23
2015-11-21,327.0,328.0,316.33
2015-11-22,323.71,327.0,321.0
2015-11-23,323.0,326.0,322.0
2015-11-24,321.0,323.17,318.0
2015-11-25,328.98,330.06,316.26
2015-11-26,352.57,368.18,328.98
2015-11-27,358.19,364.46,347.96
2015-11-28,357.24,359.63,351.09
2015-11-29,372.24,373.63,354.26
2015-11-30,376.86,382.87,367.5
2015-12-01,362.68,378.94,354.6
2015-12-02,360.0,363.06,347.55
2015-12-03,361.77,369.99,356.52
2015-12-04,363.98,364.85,355.43
2015-12-05,387.99,390.0,363.97
2015-12-06,387.55,401.01,375.22
2015-12-07,394.73,397.57,383.0
2015-12-08,418.94,418.94,386.69
2015-12-09,418.39,425.0,401.0
2015-12-10,415.68,419.5,408.0
2015-12-11,452.95,453.13,415.67
2015-12-12,436.87,469.34,403.0
2015-12-13,433.83,443.83,419.42
2015-12-14,444.01,450.0,429.12
2015-12-15,464.27,464.95,443.76
2015-12-16,453.97,464.73,440.0
2015-12-17,455.5,456.33,446.01
2015-12-18,463.17,465.1,453.28
2015-12-19,461.29,465.6,451.58
2015-12-20,442.22,461.3,430.0
2015-12-21,436.81,444.44,424.66
2015-12-22,433.92,442.0,432.58
2015-12-23,442.43,445.11,428.29
2015-12-24,455.74,460.0,442.42
2015-12-25,455.84,458.99,450.01
2015-12-26,419.41,458.29,410.0
2015-12-27,424.72,429.85,410.02
2015-12-28,421.94,429.9,418.0
2015-12-29,433.89,433.9,419.31
2015-12-30,427.95,434.99,422.35
2015-12-31,430.35,434.0,419.04
2016-01-01,435.66,437.15,427.92
2016-01-02,435.4,437.56,432.41
2016-01-03,431.91,435.75,425.02
2016-01-04,433.85,435.79,431.37
2016-01-05,433.34,435.64,430.0
2016-01-06,430.87,433.46,428.15
2016-01-07,459.07,460.15,430.64
2016-01-08,454.44,464.4,447.53
2016-01-09,450.38,456.0,447.66
2016-01-10,449.99,451.39,442.96
2016-01-11,449.19,452.65,445.88
2016-01-12,434.01,449.44,431.83
2016-01-13,432.77,437.5,425.0
2016-01-14,430.03,435.27,428.0
2016-01-15,357.53,430.29,357.3
