date,erp_t12m,tbond_rate,expected_return,sp500,erp_sustainable_payout,erp_adj_rf
2008-09-01,4.22,3.72,7.94,1252.0,,
2008-10-01,4.51,3.83,8.34,1166.0,,
2008-11-01,5.9,3.95,9.85,969.0,,
2008-12-01,6.6,2.92,9.52,896.0,,
2009-01-01,6.43,2.21,8.64,903.0,,
2009-02-01,6.87,2.87,9.74,826.0,,
2009-03-01,7.68,3.02,10.7,735.0,,
2009-04-01,7.01,2.71,9.72,798.0,,
2009-05-01,6.32,3.16,9.48,873.0,,
2009-06-01,5.94,3.47,9.41,919.0,,
2009-07-01,5.86,3.53,9.39,919.0,,
2009-08-01,5.46,3.52,8.98,987.0,,
2009-09-01,5.3,3.4,8.7,1021.0,,
2009-10-01,4.86,3.3,8.16,1057.0,,
2009-11-01,4.97,3.39,8.36,1036.0,,
2009-12-01,4.73,3.24,7.97,1096.0,,
2010-01-01,4.36,3.84,8.2,1115.0,,
2010-02-01,4.56,3.58,8.14,1074.0,,
2010-03-01,4.44,3.61,8.05,1104.0,,
2010-04-01,4.16,3.83,7.99,1169.0,,
2010-05-01,4.54,3.65,8.19,1187.0,,
2010-06-01,4.79,3.3,8.09,1089.0,,
2010-07-01,5.1,2.96,8.06,1031.0,,
2010-08-01,4.78,2.91,7.69,1106.0,,
2010-09-01,5.1,2.47,7.57,1049.0,,
2010-10-01,5.31,2.51,7.82,1141.0,,
2010-11-01,5.11,2.6,7.71,1183.0,,
2010-12-01,5.08,2.8,7.88,1181.0,,
2011-01-01,5.2,3.29,8.49,1258.0,,
2011-02-01,5.07,3.38,8.45,1286.0,,
2011-03-01,4.9,3.42,8.32,1327.0,,
2011-04-01,5.31,3.47,8.78,1326.0,,
2011-05-01,5.16,3.29,8.45,1364.0,,
2011-06-01,5.27,3.06,8.33,1345.0,,
2011-07-01,5.72,3.17,8.89,1321.0,,
2011-08-01,5.92,2.8,8.72,1292.0,,
2011-09-01,6.39,2.23,8.62,1219.0,,
2011-10-01,7.64,1.92,9.56,1131.0,,
2011-11-01,6.49,2.05,8.54,1253.0,,
2011-12-01,6.51,2.07,8.58,1247.0,,
2012-01-01,7.32,1.87,9.19,1258.0,,
2012-02-01,7.04,1.81,8.85,1312.0,,
